Crypto Barons,0x943108bcdd1A2d5BaD75b31D0B421b8170fd1192,3900,Exception State,Low,_function_0x41c577c6,3900,110,885,790,"{
    ""1"": {
        ""calldata"": ""0x41c577c681"",
        ""call_value"": ""0x0"",
        ""caller"": ""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef""
    }
}","A reachable exception has been detected.
It is possible to trigger an exception (opcode 0xfe). Exceptions can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. Note that explicit `assert()` should only be used to check invariants. Use `require()` for regular input checking."
Crypto Barons,0x5ce82786D2e00748073f396A941D3E55C0A1B3D2,,,,,,,,,,
Crypto Battlegrounds,0x9DDa40DAbd849bBB087dcBcF0C5223ec5fFa0Ad7,818,Integer Overflow,High,deposit(),818,101,843,558,"{
    ""1"": {
        ""calldata"": ""0x01010101"",
        ""call_value"": ""0x1"",
        ""caller"": ""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef""
    },
    ""5"": {
        ""calldata"": ""0x"",
        ""call_value"": ""0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff"",
        ""caller"": ""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef""
    }
}","The binary addition can overflow.
The operands of the addition operation are not sufficiently constrained. The addition could therefore result in an integer overflow. Prevent the overflow by checking inputs or ensure sure that the overflow is caught by an assertion."
Crypto Battlegrounds,0x9DDa40DAbd849bBB087dcBcF0C5223ec5fFa0Ad7,1703,Exception State,Low,getServer(uint256),1703,110,765,670,"{
    ""1"": {
        ""calldata"": ""0x"",
        ""call_value"": ""0x0"",
        ""caller"": ""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef""
    },
    ""2"": {
        ""calldata"": ""0x546b270d40"",
        ""call_value"": ""0x0"",
        ""caller"": ""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef""
    }
}","A reachable exception has been detected.
It is possible to trigger an exception (opcode 0xfe). Exceptions can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. Note that explicit `assert()` should only be used to check invariants. Use `require()` for regular input checking."
Crypto Colors,0x94cac9b8a8e597e5a934b91c0e5a06fe863bde13,,,,,,,,,,
Crypto Cup,0x7deabd3ef57fbbc50efbabe406709923b61c7122,,,,,,,,,,
Crypto Cup,0xFEF1595DA2BBa952FE13003dcE7Ad32d991c6e2F,1055,Integer Overflow,High,name(),1055,101,1627,497,"{
    ""1"": {
        ""calldata"": ""0x06fdde03c0"",
        ""call_value"": ""0x0"",
        ""caller"": ""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef""
    }
}","The binary addition can overflow.
The operands of the addition operation are not sufficiently constrained. The addition could therefore result in an integer overflow. Prevent the overflow by checking inputs or ensure sure that the overflow is caught by an assertion."
Crypto Cup,0xFEF1595DA2BBa952FE13003dcE7Ad32d991c6e2F,2986,Exception State,Low,getTeam(uint256),2986,110,733,638,"{
    ""1"": {
        ""calldata"": ""0x008e0f1b03"",
        ""call_value"": ""0x0"",
        ""caller"": ""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef""
    }
}","A reachable exception has been detected.
It is possible to trigger an exception (opcode 0xfe). Exceptions can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. Note that explicit `assert()` should only be used to check invariants. Use `require()` for regular input checking."
Crypto Cup,0xFEF1595DA2BBa952FE13003dcE7Ad32d991c6e2F,4879,Exception State,Low,buyTeam(uint256),4879,110,2718,1913,"{
    ""1"": {
        ""calldata"": ""0x0feb172f0080"",
        ""call_value"": ""0x0"",
        ""caller"": ""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef""
    }
}","A reachable exception has been detected.
It is possible to trigger an exception (opcode 0xfe). Exceptions can be caused by type errors, division by zero, out-of-bounds array access, or assert violations. Note that explicit `assert()` should only be used to check invariants. Use `require()` for regular input checking."
Crypto Family,0x4bd6b9807227ab4b96d733b0f6b3fee30d0cfdeb,,,,,,,,,,
